"Chuột đối xứng siêu nhẹ Glorious Model O | Matte Pink (Forge Limited Edition)","Glorious","1135000","denmark","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115912847605.jpg?v=1677181865&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115912880373.jpg?v=1677181868&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115912913141.jpg?v=1677181871&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115912945909.jpg?v=1677181875&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115912978677.jpg?v=1677181878&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115913011445.jpg?v=1677181863&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115913076981.jpg?v=1677181880&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115913109749.jpg?v=1677182045&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115913142517.jpg?v=1677182049&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-d-i-x-ng-sieu-nh-glorious-model-o-matte-pink-forge-limited-edition-37115913175285.jpg?v=1677182052&width=1200]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Glorious Model O - Mẫu chuột thành công nhất mọi thời đại của Glorious","Là dòng chuột đầu tiên thành công nhất của Glorious, Model O là dòng chuột mở đầu cho kỷ nguyên chuột siêu nhẹ dành cho tất cả mọi người. Đây là mẫu chuột danh giá đoạt được nhiều giải thưởng nhất của Glorious ngay từ khi ra mắt. Glorious Model O sở hữu form chuột đối xứng, kích thước phù hợp tay vừa và lớn nên phù hợp với mọi kiểu cầm chuột.","{Bảo hành=24 tháng đổi mới, Thông số khác=Lift off distance (LOD): < 0.7mm Polling rate: 1ms (1000Hz) LED: 16.8 triệu màu Tương thích: Windows  Mac  và Linux (yêu cầu cổng USB), Switch=Glorious 80 triệu lần nhấn, Cảm biến=Pixart 3360 100 - 12000 DPI 250 IPS, Trọng lượng=67g (chưa bao gồm cáp), Kích thước=128 x 38 x 66mm, Dáng chuột=Đối xứng, Kết nối=Cáp USB, Thương hiệu=Glorious  Designed in USA}","{80 triệu=Độ bền nút chuột trái phải, 67g=Trọng lượng siêu nhẹ, PMW3360=Cảm biến chuẩn eSports}","mouse","16","mouse","16"
"Chuột Logitech G102 Gen2 Lightsync","Logitech","383250","USA","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768098549.jpg?v=1677184023&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768655605.jpg?v=1677184025&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768622837.jpg?v=1677184028&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768196853.jpg?v=1677133637&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768065781.jpg?v=1677133640&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768164085.jpg?v=1677133802&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768262389.jpg?v=1677133805&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536767967477.jpg?v=1677133808&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-logitech-g102-gen2-lightsync-37536768491765.jpg?v=1677133811&width=1200]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395","Chuột Logitech G102 Gen2 Lightsync là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống.","{Độ chính xác tiên tiến=CẢM BIẾN HERO 25K, Kết nối không dây=LIGHTSPEED, Tương thích sạc không dây=POWERPLAY}","{LIGHTSPEED=Kết nối không dây, CẢM BIẾN HERO 25K=Độ chính xác tiên tiến, POWERPLAY=Tương thích sạc không dây}","mouse","12","mouse","12"
"Chuột không dây Razer Basilisk V3 Pro Wireless","Razer","3689000","denmark","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-37980373483765.jpg?v=1677212117&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-37980373418229.jpg?v=1677212120&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-37980373582069.jpg?v=1677212289&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-37980373450997.jpg?v=1677212291&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-37980373549301.jpg?v=1677212294&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-37980373516533.jpg?v=1677211923&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-38966844326133.jpg?v=1678950903&width=1000,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-38966844358901.jpg?v=1678950907&width=1000,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-basilisk-v3-pro-wireless-38966844227829.jpg?v=1678950901&width=1200]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395","Chuột không dây Razer Basilisk V3 Pro Wireless là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống.","{Độ chính xác tiên tiến=CẢM BIẾN HERO 25K, Kết nối không dây=LIGHTSPEED, Tương thích sạc không dây=POWERPLAY}","{LIGHTSPEED=Kết nối không dây, CẢM BIẾN HERO 25K=Độ chính xác tiên tiến, POWERPLAY=Tương thích sạc không dây}","mouse","8","mouse","8"
"Chuột không dây Razer DeathAdder V3 Pro Wireless","Razer","3390000","denmark","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904561078517.jpg?v=1677199502&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904561438965.jpg?v=1677199505&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904560947445.jpg?v=1677211925&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904561471733.jpg?v=1677211742&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904560980213.jpg?v=1677211745&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904561307893.jpg?v=1677211748&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-37904561012981.jpg?v=1677211751&width=1200]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Chuột gaming tốt nhất từ trước đến nay của Razer","Razer DeathAdder V3 Pro lột xác hoàn toàn so với dáng chuột DeathAdder truyền thống. Dáng chuột mới bây giờ được thiết kế lại nhằm phù hợp hơn với môi trường thể thao điện tử với trọng lượng nhẹ hơn 25% so với thế hệ DeathAdder V2 Pro trước đó. Ngoài cải tiến dáng chuột, một loạt công nghệ mới cũng được bổ sung giúp DeathAdder V3 Pro trở thành tiêu chuẩn vàng trong ngành thể thao điện tử hiện nay. Được tin dùng bởi các team game thủ chuyên nghiệp như T1, Mouz, DRX, MAD Lions, Copenhagen Flames,...","{Bảo hành=24 tháng, Thông số khác=Feet chuột: 100% PTFE Đèn LED: không Bộ nhớ trong: 1 profile, Switch=Razer Optical Gen-3, Pin=Lên đến 90 giờ (di chuyển liên tục tại 1000Hz) Lên đến 24 giờ (di chuyển liên tục tại 4000Hz) khi kết nối với HyperPolling Wireless Dongle (bán rời), Cảm biến=Razer Focus Pro 30K Optical Sensor 30000 DPI 750 IPS 70G gia tốc, Trọng lượng=Đen: 63g Trắng: 64g, Kích thước=128 x 68 x 44 mm, Phụ kiện kèm theo=1 x USB kết nối 1 x Adapter 1 x Cáp USB-A to C 1 x Grip tape, Dáng chuột=Công thái học, Kết nối=Wireless 2.4GHz qua receiver Cáp USB-C tháo rời, Thương hiệu=Razer - Mỹ}","{Optical=Switch quang học Gen-3 siêu bền, Focus Pro=Cảm biến mới nhất 30000 DPI, <64 gram=Trọng lượng siêu nhẹ}","mouse","14","mouse","14"
"Chuột không dây Logitech G304 Lightspeed","Logitech","766500","korea","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g304-lightspeed-37089286717685.jpg?v=1677214279&width=1000,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g304-lightspeed-37089286750453.jpg?v=1677214280&width=1000]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395","Chuột không dây Logitech G304 Lightspeed là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống.","{Độ chính xác tiên tiến=CẢM BIẾN HERO 25K, Kết nối không dây=LIGHTSPEED, Tương thích sạc không dây=POWERPLAY}","{LIGHTSPEED=Kết nối không dây, CẢM BIẾN HERO 25K=Độ chính xác tiên tiến, POWERPLAY=Tương thích sạc không dây}","mouse","9","mouse","9"
"Chuột không dây siêu nhẹ Lamzu Atlantis OG V2","Lamzu","2499000","korea","12","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-lamzu-atlantis-og-v2-39057859084533.jpg?v=1682225818&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-lamzu-atlantis-og-v2-39057859051765.jpg?v=1682225819&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/1f56fb132656484f8b7aeb98d3c493be.thumbnail.0000000000.jpg?v=1682225632&width=852]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Lamzu Atlantis OG V2 - Chuột gaming không dây tốt nhất dành cho eSport","Là một tân binh trong làng chuột chơi game FPS nhưng Lamzu Atlantis chứng tỏ mình không phải tay mơ khi rất nhiều reviewer trên thế giới đánh giá đây là một trong những mẫu chuột S-Tier cho kiểu cầm chuột Claw Grip. Trọng lượng siêu nhẹ 55gram. Tối ưu dáng cầm Claw Grip, game FPS. Cảm biến PixArt PAW3395 mới nhất - 26K DPI, 650 IPS. Mặt đáy Polycarbonate trong suốt họa tiết ""Atlantis"". ""Trải nghiệm unbox độc nhất""","{Con lăn=TTC Silver, Bảo hành=12 tháng đổi mới, Thông số khác=Polling rate: 1000Hz Phần mềm: có, Switch=Huano Blue Shell Pink Dot, Pin=Lên đến 70 giờ, Cảm biến=Pixart PAW3395 26.000 DPI 650 IPS 50g gia tốc, Trọng lượng=55g, Kích thước=123mm x 66mm x 38mm, Phụ kiện kèm theo=1 x Receiver 1 x Adapter 1 x Cáp sạc USB-C 1 x bộ feet chuột PTFE thay thế 1 x bộ grip tape 1 x túi đựng chuột, Dáng chuột=Đối xứng - Symmetrical, Kết nối=Wireless: 2.4GHz qua receiver đi kèm Wired: USB-C, Thương hiệu=Designed by Lamzu}","{Medium=Cỡ chuột cho tay vừa và lớn, 55g=Trọng lượng siêu nhẹ, PAW3395=Cảm biến Pixart mới}","mouse","18","mouse","18"
"Chuột không dây Razer DeathAdder V3 Pro Wireless - Faker Edition","Razer","4390000","USA","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-faker-edition-38883096592629.jpg?v=1677211203&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-faker-edition-38883096559861.jpg?v=1677211394&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-faker-edition-38883096428789.jpg?v=1677211385&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/hqdefault_427d95b6-835c-40a5-8992-96a66aac1587.jpg?v=1677210421&width=480,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-faker-edition-38883096527093.jpg?v=1677211382&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-faker-edition-38883096461557.jpg?v=1677211388&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-razer-deathadder-v3-pro-wireless-faker-edition-38883096396021.jpg?v=1677211392&width=1200]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395","Chuột không dây Razer DeathAdder V3 Pro Wireless - Faker Edition là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống.","{Độ chính xác tiên tiến=CẢM BIẾN HERO 25K, Kết nối không dây=LIGHTSPEED, Tương thích sạc không dây=POWERPLAY}","{LIGHTSPEED=Kết nối không dây, CẢM BIẾN HERO 25K=Độ chính xác tiên tiến, POWERPLAY=Tương thích sạc không dây}","mouse","19","mouse","19"
"Chuột không dây Logitech G502 X Plus","Logitech","3190000","korea","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273306357.jpg?v=1677213921&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273601269.jpg?v=1677213721&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273535733.jpg?v=1677213725&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273142517.jpg?v=1677213729&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273666805.jpg?v=1677213731&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273732341.jpg?v=1677213544&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273863413.jpg?v=1677213548&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273240821.jpg?v=1677213550&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273797877.jpg?v=1677213553&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273470197.jpg?v=1677213559&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273404661.jpg?v=1677213557&width=1200,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-logitech-g502-x-plus-38219273109749.jpg?v=1677213562&width=1200]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395","Chuột không dây Logitech G502 X Plus là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống.","{Độ chính xác tiên tiến=CẢM BIẾN HERO 25K, Kết nối không dây=LIGHTSPEED, Tương thích sạc không dây=POWERPLAY}","{LIGHTSPEED=Kết nối không dây, CẢM BIẾN HERO 25K=Độ chính xác tiên tiến, POWERPLAY=Tương thích sạc không dây}","mouse","15","mouse","15"
"Chuột không dây siêu nhẹ Pulsar X2 Wireless FE Limited - Medium/Mini","Pulsar","2499000","USA","24","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-pulsar-x2-wireless-mini-fe-limited-1000pcs-38419839287541.jpg?v=1677192671&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-pulsar-x2-wireless-mini-fe-limited-1000pcs-38419839254773.jpg?v=1677192674&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-pulsar-x2-wireless-mini-fe-limited-1000pcs-38419839320309.jpg?v=1677192677&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-pulsar-x2-wireless-mini-fe-limited-1000pcs-38419839222005.jpg?v=1677192680&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-pulsar-x2-wireless-fe-limited-39039331959029.jpg?v=1681356775&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-khong-day-sieu-nh-pulsar-x2-wireless-fe-limited-39039332810997.jpg?v=1681356778&width=1600,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/hqdefault_e59395db-a8bd-47f5-8d88-967d6e75db5e.jpg?v=1678762023&width=480]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395 - Pulsar X2 mới nhất!","Với form chuột đối xứng được thiết kế hoàn toàn mới bởi Pulsar, X2 Wireless là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống. Phiên bản Founder's Edition (FE) được sản xuất giới hạn chỉ 1000 chiếc trên toàn thế giới. Tặng kèm feet thủy tinh Superglide và feet PTFE Corepad Pro.","{Con lăn=TTC Gold, Bảo hành=24 tháng đổi mới, Thông số khác=Polling rate: 1000Hz Phần mềm: có, Switch=Kailh GM 8.0, Pin=Lên đến 70 giờ, Cảm biến=Pixart PAW3395 26.000 DPI 650 IPS 50g gia tốc, Trọng lượng=Medium: 56g (+- 1g) Mini: 52g (+- 1g), Kích thước=Medium: 120mm x 63mm x 38mm Mini: 116mm x 61mm x 37mm, Phụ kiện kèm theo=1 x Receiver 1 x Adapter 1 x Cáp sạc USB-C 1 x Bộ feet PTFE Corepad 1 x Bộ feet Superglide phiên bản Founder's Edition, Dáng chuột=Đối xứng - Symmetrical, Kết nối=Wireless: 2.4GHz qua receiver đi kèm Wired: USB-C, Thương hiệu=Pulsar  Designed in Korea}","{<56 gram=Trọng lượng siêu nhẹ, PAW3395=Cảm biến Pixart mới nhất, 1000 chiếc=Số lượng giới hạn toàn cầu}","mouse","5","mouse","5"
"Chuột Endgame Gear XM1 RGB","Endgame Gear","1190000","USA","12","[https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683139899637.jpg?v=1677200402&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683139932405.jpg?v=1677200222&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683139965173.jpg?v=1677200225&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683139997941.jpg?v=1677200228&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140260085.jpg?v=1677200231&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140325621.jpg?v=1677200234&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140358389.jpg?v=1677200237&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140292853.jpg?v=1677200241&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140587765.jpg?v=1677200405&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140522229.jpg?v=1677200042&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140620533.jpg?v=1677200045&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140554997.jpg?v=1677199863&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140686069.jpg?v=1677199865&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140718837.jpg?v=1677199869&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140653301.jpg?v=1677199872&width=805,  https://cdn.shopify.com/s/files/1/0636/9044/0949/products/chu-t-endgame-gear-xm1-rgb-38683140849909.jpg?v=1677199875&width=805]","Đây là mẫu chuột được hoàn thiện nhằm chinh phục những cột mốc mới trên thị trường gaming gear.","Đối xứng - PAW3395","Chuột Endgame Gear XM1 RGB là mẫu chuột đối xứng giúp bạn chơi game và giành lấy những vị trí cao thật cao trên bảng xếp hạng. Trọng lượng khoảng dưới 60 gram, thiết kế không lỗ cùng thời lượng pin lên đến 70 giờ giúp bạn sử dụng chuột cả ngày dài mà không lo mệt mỏi như những mẫu chuột không dây nặng nề truyền thống.","{Độ chính xác tiên tiến=CẢM BIẾN HERO 25K, Kết nối không dây=LIGHTSPEED, Tương thích sạc không dây=POWERPLAY}","{LIGHTSPEED=Kết nối không dây, CẢM BIẾN HERO 25K=Độ chính xác tiên tiến, POWERPLAY=Tương thích sạc không dây}","mouse","0","mouse","0"
