"Chuột Logitech G Pro X Superlight Wireless Red","logitech","2890000","24","[https://product.hstatic.net/1000026716/product/chuot-g-pro-wireless-red_ff44f385041a4d20ab32700a7446b9e9.gif, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-1_e9b9c83c5b014121b05142091ca1a7b7.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-2_65449c18fee64a0d950039d6f5bc5c24.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-3_40c84cc686df4ce4bf01584306f68342.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-4_0d8bee5e7b6a4f7da8e694c8481be033.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-5_409f7a871aad498c961f4b086000bf3d.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-6_a590e849c7bb4beab901036cc155debf.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-7_a694fefa19f04a2b9e72b3546101e455.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-8_057be682557b44f4b665a847bcf9499c.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g-pro-x-superlight-wireless-red-9_9495ef6ff8484781a2927c1cc79dfdec.jpg]","Chuột Logitech G Pro X Superlight Wireless Red là một trong những dòng chuột chơi game nhẹ nhất từ trước tới nay của Logitech, nó cũng chính là bước đột phá về kỹ thuật khi đạt được trọng lượng ít hơn 63 gram – nhẹ hơn gần 25% so với chuột không dây Pro tiêu chuẩn của Logitech.","{Màu=Đỏ, Cảm biến=HERO, Nút=5 nút, Tốc độ tối đa=> 400 IPS, Chân=Nhựa PTFE không pha tạp, Tăng tốc tối đa=> 40 G, Công nghệ không dây=LIGHTSPEED, Chuyển động liên tục=70h, Trọng lượng=< 63 g, Model=Logitech G Pro X Superlight Wireless Red, Hãng sản xuất=Logitech, Kích thước=125.0 x 63.5 x 40.0 mm, Tương thích=POWERPLAY, Tần suất gửi tín hiệu USB=1000 Hz (1ms), Bộ vi xử lý=32-bit ARM, Độ phân giải=100 – 25.400 DPI}"
"Chuột ASUS ROG Harpe Ace Aim Lab Edition","asus","2690000","24","[https://product.hstatic.net/1000026716/product/untitled-1-09_e5701997adf84898ad943003a494ab11.gif, https://product.hstatic.net/1000026716/product/chu-asus-rog_6d2476812ba84f78ad0693a5ff55cf6c.gif, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-1_37cafa812da94df3872eb2058056fc31.png, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-1_4238499bc41d4bc3966ead39d01cc6cd.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-2_cbfd6a100c654afda31d3c34b8f41e99.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-3_e87f64a6157b4046932c18342728155a.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-4_4bebe33852d44d3f9300f75ea5c74b68.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-5_1b0f63b11ef543e7836c915534610070.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-asus-rog-harpe-ace-aim-lap-edition-6_8e018f664180444592cc43e405cb820a.jpg]","ASUS - Thương hiệu đã vô cùng nổi tiếng với các sản phẩm công nghệ, từ laptop đến các linh kiện máy tính. Và khi lấn sân sang gaming gear, ASUS vẫn sở hữu cho mình một dòng sản phẩm chuột gaming cao cấp mang tên ASUS ROG Harpe Ace. Chúng ta cùng chào mừng phiên bản mới nhất của lineup sản phẩm với model ASUS ROG Harpe Ace Aim Lab Edition. Cùng GEARVN đi tìm hiểu kỹ hơn về chú chuột này nhé!","{Cảm biến=ROG AimPoint, Kiểu dáng=Đối xứng, Gia tốc=50G, Model=ASUS ROG Harpe Ace Aim Lab Edition, Kết nối=Có dây / Bluetooth 5.1 / Wireless 2.4GHz, DPI=36000, IPS=650, Thương hiệu=Asus}"
"Chuột Havit MS953","havit","350000","12","[https://product.hstatic.net/1000026716/product/chu-havit-ms953_b80a315d62264fd8870055e79b0f6836.gif, https://product.hstatic.net/1000026716/product/thumbchuot_7cdf760d5f2245ea9880f185f9402cdc.gif, https://product.hstatic.net/1000026716/product/ms953-4_f3c864d83bab40b68fa0873564de53b1.jpg, https://product.hstatic.net/1000026716/product/ms953-5_94a46c1159234f67bce9cd07a92229ca.jpg, https://product.hstatic.net/1000026716/product/ms953-3_0814946b796c4315806b750b8186473b.jpg, https://product.hstatic.net/1000026716/product/ms953-2_97b77b1db0944bddad651b6c7d221b1f.jpg]","Havit MS953 sở hữu thiết kế độc đáo cùng những chi tiết led RGB được gia công tinh xảo tạo nên tổng thể vô cùng đẹp mắt. Trang bị lên đến 7 nút bấm được bố trí thông minh, thiết kế ôm tay tạo cảm giác cầm nắm chắc chắn trong từng pha xử lý. Hứa hẹn đây sẽ là một trong những dòng chuột máy tính mang đến cho người dùng những cảm xúc thăng hoa với tựa game yêu thích.","{Tuổi thọ Switch=20tr lần nhấn, Chiều dài cáp=1.6m, Kích thước=130 x 72 x 43mm, Thiết kế=Công thái học, Kết nối=Có dây, DPI=1000-2000-3000-4000-6000-7000}"
"Chuột Havit MS1028","havit","220000","12","[https://product.hstatic.net/1000026716/product/chu-havit-ms1028_8d943997ddea4f26a236d2b790d80d96.gif, https://product.hstatic.net/1000026716/product/z4257443671525_0a82f557c3f411a55305b20cd6b3e235_33489ac658694ae2974ad76a1e55e4ea.jpg, https://product.hstatic.net/1000026716/product/z4257443636031_6e6a02622f8d8a162aadcbd8d57cb204_d4cdc9acd92149f4a8a51fdc36b2dc77.jpg, https://product.hstatic.net/1000026716/product/z4257443742872_bd4efa32cc2c67aa59e40c89936616bc_66c413af820548adbaae9b7b44814c50.jpg, https://product.hstatic.net/1000026716/product/z4257443770302_5ba4f5f5c848b9c6698cc4771fc015eb_ef45ce3b65ec40c7919ed24b6238dc9b.jpg, https://product.hstatic.net/1000026716/product/z4257443805536_f2390e3ba3119942fdc9378c310c5515_69c23dca1375424e97587ab8a7907dcf.jpg]","Havit MS1028 dòng sản phẩm chuột máy tính chơi game sở hữu thiết kế công thái học mang đến những trải nghiệm chơi game độc đáo, tạo cảm giác chắc chắn trong từng pha xử lý yêu cầu tốc độ cao. Đặc biệt, người chơi có thể sử dụng chuột gaming Havit MS1028 cả ngày dài mà không cần lo lắng đau, mỏi cổ tay.","{Tuổi thọ Switch=3 triệu lần nhấn, Chiều dài cáp=1.5m, Kích thước=125 x 71 x 41mm., Thiết kế=Công thái học, Kết nối=Có dây, DPI=1200-1800-2400-3200-4800-7200}"
"Chuột Havit MS1017","havit","190000","12","[https://product.hstatic.net/1000026716/product/chu-havit-ms1017_6c017c5257a74aaeb48f40cdc8d77645.gif, https://product.hstatic.net/1000026716/product/thumbchuot_7bffc5b382044ed18513b367fa222b4b.gif, https://product.hstatic.net/1000026716/product/2-29-600x600_b99b4142bb5740cabd875b3836fbdfcf.jpg, https://product.hstatic.net/1000026716/product/4-25-600x600_a9af0aa148a94c58af37b0379dfccb73.jpg]","Havit MS1017 là một trong những dòng sản phẩm chuột gaming mới nhất từ Havit. Sở hữu thiết kế đối xứng ôm sát lòng bàn tay trong từng pha di chuyển, tích hợp hệ thống LED RGB sinh động, cùng với đó là độ nhạy có thể tùy chỉnh lên đến 6.400 DPI tùy theo nhu cầu sử dụng.","{Tuổi thọ Switch=5 triệu lần nhấn, Chiều dài cáp=1.5m, Kích thước=125 x 67 x 41mm, Thiết kế=Đối xứng, Kết nối=Có dây, DPI=800-1600-2400-3200-4800-6400}"
"Chuột Gaming Havit MS878","havit","350000","12","[https://product.hstatic.net/1000026716/product/chu-havit-ms878_0b6aa474f62f4e8bb0d683ca583ac06b.gif, https://product.hstatic.net/1000026716/product/2-707b8a10-95ac-4e6d-9e50-2808c2959505__1__15430e9a7a954cd9a4427309477cb0df.png, https://product.hstatic.net/1000026716/product/5-d1f19ecd-e9eb-409d-adb6-cee76439d730__1__0ef927efcb6e4388903bb7e14c743c5e.jpg, https://product.hstatic.net/1000026716/product/4-6858fd8e-556f-470b-809f-7e5563c76a68_22ab56e0f2d14d7688fd127ed1f98e5b.jpg, https://product.hstatic.net/1000026716/product/3-9dcbf8e0-cc63-437c-bd1d-1e1604a87de9_dac669b5ea5b4c7d955abb60076429dd.jpg, https://product.hstatic.net/1000026716/product/1-58721e91-8c0f-4726-9f39-fdab9450f130_5cbffb2422404a599317ac54cdbf95cd.jpg]","Havit MS878 là dòng chuột chơi game sở hữu thiết kế ấn tượng, độc đáo mang đến những trải nghiệm chơi game tuyệt vời. Ngoài ra, MS878 còn là một trong những dòng chuột Havit có thể điều chỉnh DPI, led RGB và nhiều tính năng hỗ trợ cho mọi nhu cầu sử dụng một cách dễ dàng.","{Dây cáp=1.5 m, Kích thước=128 x 65 x 41 mm, Kết nối=Có dây, DPI=1000-2400-3600-5000-7000-10000, Thương hiệu=Havit}"
"Chuột Logitech G502 X Plus LightSpeed White","logitech","3290000","24","[https://product.hstatic.net/1000026716/product/chu-log-g502x_e53ad75c630e44e9aac80c37b5a9a3dc.gif, https://product.hstatic.net/1000026716/product/g502x-plus-gallery-2-white_69229c9ba5534ad5bfae7d827037a28f.png, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g502-x-plus-lightspeed-white-1_283944b0723544baa411b497814f5043.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g502-x-plus-lightspeed-white-2_090a6410c89c4d26badc50edaa35ec0a.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g502-x-plus-lightspeed-white-3_a86f524774564f479085f04c0f2d1aa8.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g502-x-plus-lightspeed-white-4_0ef5e503aac946288ad0a1c4d446f112.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g502-x-plus-lightspeed-white-5_378b369c5b7646e5a53a1216ca6ef2d3.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g502-x-plus-lightspeed-white-6_021463df5b8c4ed68e5923f14cf4b591.jpg]","Chuột Logitech G502 X PLUS White là sản phẩm mới nhất của series G502 đình đám. Được thiết kế lại và cải tiến với công nghệ chơi game hiện đại, bao gồm công tắc Lightforce lai quang học - cơ học đầu tiên, Lightspeed không dây, LIGHT SYNC RGB và cảm biến quang học Hero 25K, Logitech G502 X PLUS chắc chắn là một trong những gaming gear đáng mua nhất cho game thủ thời gian sắp tới.","{Tăng tốc tối đa=> 40G2, Cảm biến=HERO 25K, Trọng lượng=106 g, Nút=13 Nút điều khiển có thể lập trình, Kích thước=131.4 mm x 41.1 mm x 79.2 mm, Tương thích=Windows 10 trở lên macOS 10.14 trở lên, DPI=100 – 25.600, Tốc độ tối đa=> 400 IPS}"
"Chuột Logitech MX Anywhere 3 for Business Graphite","logitech","1750000","24","[https://product.hstatic.net/1000026716/product/thumbchuot_997496b6efb7409ebfee579a7f2c3125.gif, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-8_d94e673dfee64707b76c80f107a2fdb3.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-graphite-3_543c2ba67d2147168e2219222e03d616.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-graphite-2_2675e0c3f6624ebc8d8065ade759a80c.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-graphite-5_4d22492c5b6a45c8b5838d04ae0f878d.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-graphite-4_642e3a1688d947f7a2d336067ee95618.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-graphite-7_18ec44381562457fbd41c8b6e0783335.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-graphite-6_92fafb8cb5d641369002c99f46268e12.png]","Logitech MX Anywhere dòng chuột văn phòng không dây tiện lợi, dễ dàng mang đi và sử dụng ở bất kỳ đâu. Sở hữu kiểu dáng đối xứng ôm sát lòng bàn tay giúp mọi thao tác sử dụng chuột thêm phần tiện lợi.","{Pin:=Pin Li-Po (500 mAh) có thể sạc lại qua dây USB-C, Trọng lượng:=99g, Hãng sản xuất:=Logitech, Model:=Logitech MX Anywhere 3 for Business Graphite, Tương thích:=Windows 10. 11 trở lên macOS 10.15 trở lên Linux ChromeOS iPadOS 13.4 trở lên Android 8 trở lên, Công nghệ cảm biến:=Darkfield có độ chính xác cao Giá trị danh nghĩa: 1000 DPI DPI (Giá trị tối đa và tối thiểu): 200-4000 dpi (có thể thiết lập với các mức tăng là 50 dpi), Phần mềm tùy chỉnh:=Logi Options+, Nút:=6 nút: Nhấp chuột Trái/Phải. Tiếp theo/Quay lại. Chuyển chế độ nút cuộn. Nhấp chuột giữa Bánh xe cuộn: Có. với chế độ chuyển tự động Bánh xe: Có. bằng cách giữ nút bên cạnh trong khi xoay nút cuộn, Kích thước:=100.5 mm x 65mm x 34.4mm, Thời lượng pin:=Lên đến 70 ngày trong một lần sạc đầy 3 giờ sử dụng sau khi sạc nhanh 1 phút Người dùng có thể hoạt động trong khi thiết bị đang được sạc. do đó không có thời gian gián đoạn công việc * Thời gian sử dụng pin có thể thay đổi tùy theo người dùng và điều kiện sử dụng máy tính., Khoảng cách kết nối không dây:=Lên tới 10 mét, Màu:=Graphite, Kết nối:=Không dây}"
"Chuột Logitech MX Anywhere 3 for Business Pale Grey","logitech","1750000","24","[https://product.hstatic.net/1000026716/product/thumbchuot-recovered_8e80553dec15492db14016f740c6b086.gif, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-pale-gray-7_cc38d2f2baf44fe58b11354b32d8fb8c.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-pale-gray-6_2d988f438eee43998dc855d3ea7b4a36.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-pale-gray-5_da8d2dd55e094a5ea61b80f2b4a663b9.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-pale-gray-4_83c666c299b646febcbaa51f7922454a.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-pale-gray-3_a765b340ba4e4eb0ada4cdc63c2828b5.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-pale-gray-2_ea9fc814b82c4073a0a2fa774c8bbf0b.png, https://product.hstatic.net/1000026716/product/mx-anywhere-3-portable-business-mouse-gallery-8_326a07c84c9845519e3115293b9e7e7b.png]","Logitech MX Anywhere dòng chuột văn phòng không dây tiện lợi, dễ dàng mang đi và sử dụng ở bất kỳ đâu. Sở hữu kiểu dáng đối xứng ôm sát lòng bàn tay giúp mọi thao tác sử dụng chuột thêm phần tiện lợi.","{Pin:=Pin Li-Po (500 mAh) có thể sạc lại qua dây USB-C, Trọng lượng:=99g, Hãng sản xuất:=Logitech, Model:=Logitech MX Anywhere 3 for Business Pale Grey, Tương thích:=Windows 10. 11 trở lên macOS 10.15 trở lên Linux ChromeOS iPadOS 13.4 trở lên Android 8 trở lên, Công nghệ cảm biến:=Darkfield có độ chính xác cao Giá trị danh nghĩa: 1000 DPI DPI (Giá trị tối đa và tối thiểu): 200-4000 dpi (có thể thiết lập với các mức tăng là 50 dpi), Phần mềm tùy chỉnh:=Logi Options+, Nút:=6 nút: Nhấp chuột Trái/Phải. Tiếp theo/Quay lại. Chuyển chế độ nút cuộn. Nhấp chuột giữa Bánh xe cuộn: Có. với chế độ chuyển tự động Bánh xe: Có. bằng cách giữ nút bên cạnh trong khi xoay nút cuộn, Kích thước:=100.5 mm x 65mm x 34.4mm, Thời lượng pin:=Lên đến 70 ngày trong một lần sạc đầy 3 giờ sử dụng sau khi sạc nhanh 1 phút Người dùng có thể hoạt động trong khi thiết bị đang được sạc. do đó không có thời gian gián đoạn công việc * Thời gian sử dụng pin có thể thay đổi tùy theo người dùng và điều kiện sử dụng máy tính., Khoảng cách kết nối không dây:=Lên tới 10 mét, Màu:=Pale Grey, Kết nối:=Không dây}"
"Chuột Logitech G705 Off White","logitech","2190000","24","[https://product.hstatic.net/1000026716/product/g705-gallery-3_de00421261634884ae13a5b56cd374ff.png, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g705-off-white-1_53da7dffdfa44f779e824bf93d03a4b0.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g705-off-white-2_9806d37de98440ad990cfa77e5320a18.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g705-off-white-3_10e051156c05454597d64c8b5591be64.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g705-off-white-4_5c7b8d1388e940ac88e3b6179b3321df.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g705-off-white-5_b11490aa7e9a4ebdaed11c359a81fa8b.jpg, https://product.hstatic.net/1000026716/product/gearvn-chuot-logitech-g705-off-white-6_00273c13c5f640e282fa1e1e7bf2c1d8.jpg]","Những dòng chuột Logitech luôn là sự lựa chọn số 1 của hàng triệu người dùng từ các dòng chuột văn phòng đến chuột Gaming với nhiều tính năng nổi bật. Trong đó, Logitech G705 là một trong những sản phẩm chuột máy tính không dây thiết kế nhỏ gọn nhưng vẫn đáp ứng tốt mọi nhu cầu từ người tiêu dùng.","{Trọng lượng nhẹ=85g, Nút:=6 (Hoàn toàn có thể lập trình), Kích thước:=39.4 mm x 68.1 mm x 105.8 mm, Led=RGB LIGHTSYNC (ba vùng), DPI=100 – 8.200, Kết nối=Bluetooth / Lightspeed}"
